,CID,SID,target,Efficacy
535,135693575,49713818,1,162.339
538,135693572,49713814,1,120.058
540,135693571,49713813,1,134.399
545,135693568,49713810,1,176.102
551,135693562,49713804,1,99.1235
553,135693561,49713803,1,174.617
982,135616986,49734324,1,151.239
986,135616983,49733401,1,87.8558
997,135616976,49732732,1,141.757
3429,135494311,26756479,1,192.166
5084,135458497,49714988,1,116.515
7611,135419190,50107101,1,135.839
7940,135416477,17510952,1,129.428
8740,135409384,90341836,1,142.96
8923,135403797,26665710,1,147.23
9163,135401484,22416389,1,85.6256
9514,135399235,90340570,1,93.3409
10043,54692791,22405915,1,164.632
10176,54687802,49818799,1,131.168
10292,54685921,50106439,1,105.046
10677,54676228,90341008,1,171.909
10703,54671203,90340791,1,83.1232
10705,54670067,56463574,1,135.838
12449,43834282,50106087,1,44.1773
31225,23675321,855938,1,191.554
42140,16759996,26756527,1,166.732
42238,16759513,26755302,1,147.321
42271,16758830,50104862,1,108.862
42718,16746587,50105834,1,108.599
57365,16189457,24789945,1,104.211
59263,16066636,24708170,1,111.445
60003,16034476,49717113,1,206.195
60152,16034332,49717262,1,80.5301
62679,16031810,24410796,1,105.201
64732,16029699,49720075,1,118.716
65345,16029083,24407759,1,114.703
65350,16029078,49719372,1,82.1702
66673,16027762,49670480,1,148.877
68686,16025782,49719410,1,105.237
68734,16025738,49735552,1,158.281
68753,16025720,49731239,1,196.047
68758,16025716,49719416,1,183.313
69465,16025034,49719977,1,123.586
69686,16024818,49734723,1,133.798
69724,16024782,49719769,1,172.353
70003,16024512,49735878,1,103.432
70233,16024300,49734719,1,144.742
70605,16023927,49734709,1,106.579
71996,16022536,49717246,1,114.622
74163,16020398,24398716,1,88.7033
75263,16019302,49735377,1,141.257
75271,16019295,24397306,1,69.6466
75348,16019227,49677846,1,139.371
75366,16019210,49735092,1,145.241
75435,16019145,49722601,1,106.305
75621,16018967,24396961,1,68.8723
76077,16018545,49722262,1,160.171
76367,16018257,49730922,1,129.802
77067,16017628,49722812,1,76.3532
77122,16017588,24395495,1,76.6022
77125,16017586,24395493,1,78.1334
77132,16017582,24395489,1,76.511
77152,16017564,24395471,1,86.7134
77154,16017563,24395470,1,88.1887
77156,16017562,24395469,1,119.988
77162,16017558,24395465,1,81.562
77165,16017556,24395463,1,83.1754
77169,16017554,24395461,1,69.2692
77176,16017550,24395457,1,84.3648
77200,16017529,24395436,1,115.809
77269,16017472,24395377,1,61.2068
77335,16017410,24395315,1,119.544
77358,16017390,24395295,1,79.9982
77419,16017335,24395239,1,76.0125
77466,16017295,24395187,1,58.1864
77468,16017294,24395185,1,61.3031
77524,16017245,24395124,1,138.148
77679,16017095,24394958,1,132.086
77709,16017064,49722914,1,170.383
77711,16017063,24394924,1,99.6159
77869,16016899,49735407,1,102.422
80129,16014567,49735406,1,105.184
80212,16014492,24392082,1,111.132
80215,16014490,49721931,1,129.31
80345,16014365,24391941,1,106.074
80348,16014363,24391939,1,109.184
80371,16014341,24391911,1,86.9648
80374,16014339,24391909,1,99.6207
80377,16014337,49731810,1,153.141
